190   	 3.6   340   120
190   	 5.2   150   40
5.8	 1.9   4.4   1.1
6.0	 1.9   4.3   1.1
39	 3.7   53    4
12	 1.3   21    8
24	 2.1   34    13
24	 9.4   12    1
14	 15.1  25    1
470	 8.9   300   30
930	 8.1   860   230
21	 6.6   20    5
14	 6.8   26    9
9.7	 5.7   9.6   2.8
0.79	 11.7  0.40  0.02
83	 5.1   73    17
87	 5.6   57    7
6.6	 4.0   11.9  4.3
1.8	 6.5   1.1   0.1
300	 12.4  310   14
3.2	 1.0   5     1.8
8.4	 2.0   8.8   2.8
8.9	 3.5   16.3  6
24	 4.2   11    3
3.4	 8.6   1.7   0.1
4.0	 10.2  2.7   0.1
0.196	 0.7   0.10  0.003
0.4	 1.3   0.42  0.13
0.17	 1.3   0.32  0.11
0.21	 1.4   0.27  0.10
0.078	 0.4   0.043 0.003
0.25	 0.4   0.18  0.02
0.29	 1.5   0.41  0.15
0.21	 1.6   0.37  0.13
0.019	 0.4   0.035 0.013
0.013	 0.5   0.007 0.001
