#Lum distances in Mpc and fluxes in mJy at 1.4 Ghz for the Finoguenov group sample

1260.14673387 		3.98
4635.06434937 		2.627
1795.1441554  		42.4
3177.12112986		125.5
1552.67344999 		26.79
871.6655179  		23.74
2172.08456566 		11.76
3890.92148154		37.26
3177.12112986 		172.2
4259.42423913 		13.5
559.70713976 		18.61
2497.5993007 		27.78
5406.15496803 		247.0
4635.06434937 		99.03
5406.15496803 		13.06
1856.88759356		178.3
1919.07021799 		29.0
559.70713976 		130.0
5642.28954016 		36.9
3038.33834114		268.6
5800.87733622 		1759
980.05029885 		9.47
4635.06434937 		4.10
7853.95944246		325.4
1090.54816651 		1360
1090.54816651 		151.2
6040.45547673 		9.97
2172.08456566		5.56
980.05029885 		38.69
1981.68658022 		6.7
2366.19617739 		7.05
7433.64272593		3.5
5017.4339253  		2.08
1260.14673387 		365.9
1919.07021799 		2.94
2630.5528002 		6.4
363.26188909 		42.3
2497.5993007  		4.2
2765.01845134 		75.5
6607.05288498		5.04
6607.05288498 		12.8
1795.1441554  		377.0
7853.95944246		1819
























 

  



  


 


